model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob,wins_in_bin,cumulative_bets_onwards,cumulative_wins_onwards,cumulative_wr_onwards
gradient_boosting__without_odds,prob_H_and_O45,[0.20-0.25),0.225,765,19.477124183006538,0.2219225285575134,149.0,1351,282.0,20.873427091043673
gradient_boosting__without_odds,prob_H_and_O45,[0.25-0.30),0.275,297,19.865319865319865,0.2708396881369754,59.0,586,133.0,22.696245733788395
gradient_boosting__without_odds,prob_H_and_O45,[0.30-0.35),0.32500000000000007,121,19.00826446280992,0.3229227466794276,23.0,289,74.0,25.60553633217993
gradient_boosting__without_odds,prob_H_and_O45,[0.35-0.40),0.375,76,25.0,0.37285091482918475,19.0,168,51.0,30.357142857142854
gradient_boosting__without_odds,prob_H_and_O45,[0.40-0.45),0.42500000000000004,46,28.26086956521739,0.42179602256975934,13.0,92,32.0,34.78260869565217
gradient_boosting__without_odds,prob_H_and_O45,[0.45-0.50),0.475,26,53.84615384615385,0.4762381585793586,14.0,46,19.0,41.30434782608695
gradient_boosting__without_odds,prob_H_and_O45,[0.50-0.55),0.525,20,25.0,0.5241619608357911,5.0,20,5.0,25.0
gradient_boosting__without_odds,prob_H_and_U15,[0.00-0.05),0.025,1572,5.2798982188295165,0.0381787753550909,83.0,109509,10704.0,9.77453907897981
gradient_boosting__without_odds,prob_H_and_U15,[0.05-0.10),0.07500000000000001,54776,9.188330655761648,0.08887811983235647,5033.0,107937,10621.0,9.839999258826907
gradient_boosting__without_odds,prob_H_and_U15,[0.10-0.15),0.125,51986,10.498980494748587,0.10865469239083135,5458.0,53161,5588.0,10.511465171836496
gradient_boosting__without_odds,prob_H_and_U15,[0.15-0.20),0.17500000000000002,1145,11.004366812227074,0.16406371738951522,126.0,1175,130.0,11.063829787234042
gradient_boosting__without_odds,prob_H_and_U15,[0.20-0.25),0.225,30,13.333333333333334,0.20936966437305068,4.0,30,4.0,13.333333333333334
gradient_boosting__without_odds,prob_H_and_U25,[0.00-0.05),0.025,391,4.603580562659847,0.03558446279352769,18.0,109508,18754.0,17.12568944734631
gradient_boosting__without_odds,prob_H_and_U25,[0.05-0.10),0.07500000000000001,2939,8.74447090847227,0.08114325052107432,257.0,109117,18736.0,17.17056004105685
gradient_boosting__without_odds,prob_H_and_U25,[0.10-0.15),0.125,16456,13.636363636363635,0.13190419596750666,2244.0,106178,18479.0,17.40379362956545
gradient_boosting__without_odds,prob_H_and_U25,[0.15-0.20),0.17500000000000002,73419,17.49138506381182,0.17636768430884175,12842.0,89722,16235.0,18.094781658901944
gradient_boosting__without_odds,prob_H_and_U25,[0.20-0.25),0.225,13827,20.80711651117379,0.21750391062164512,2877.0,16303,3393.0,20.812120468625405
gradient_boosting__without_odds,prob_H_and_U25,[0.25-0.30),0.275,2098,20.63870352716873,0.26773843646242124,433.0,2476,516.0,20.84006462035541
gradient_boosting__without_odds,prob_H_and_U25,[0.30-0.35),0.32500000000000007,341,21.994134897360702,0.3154719339127236,75.0,378,83.0,21.957671957671955
gradient_boosting__without_odds,prob_H_and_U25,[0.35-0.40),0.375,37,21.62162162162162,0.36192295938984653,8.0,37,8.0,21.62162162162162
