model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob
poisson_pca_without_odds,prob_1X,[0.40-0.45),0.42500000000000004,2030,41.03448275862069,0.42639350425528394
poisson_pca_without_odds,prob_1X,[0.45-0.50),0.475,3274,45.93769089798412,0.4773774368870836
poisson_pca_without_odds,prob_1X,[0.50-0.55),0.525,5324,51.089406461307284,0.5264557725111936
poisson_pca_without_odds,prob_1X,[0.55-0.60),0.5750000000000001,8658,57.05705705705706,0.5770420284102462
poisson_pca_without_odds,prob_1X,[0.60-0.65),0.625,12964,61.45479790188213,0.6266058793990501
poisson_pca_without_odds,prob_1X,[0.65-0.70),0.675,23933,68.32824969707099,0.677916013954693
poisson_pca_without_odds,prob_1X,[0.70-0.75),0.7250000000000001,19212,73.20424734540913,0.7247695840011882
poisson_pca_without_odds,prob_1X,[0.75-0.80),0.775,15550,78.68167202572347,0.7735323657859778
poisson_pca_without_odds,prob_1X,[0.80-0.85),0.8250000000000001,9114,83.34430546412113,0.8223068443893669
poisson_pca_without_odds,prob_1X,[0.85-0.90),0.875,4321,88.8220319370516,0.8720070399722955
poisson_pca_without_odds,prob_1X,[0.90-0.95),0.925,2019,92.02575532441803,0.9213016097198198
poisson_pca_without_odds,prob_1X,[0.95-1.00),0.9750000000000001,540,96.85185185185186,0.9659764298640655
poisson_pca_without_odds,prob_12,[0.65-0.70),0.675,134,65.67164179104478,0.6941521836107237
poisson_pca_without_odds,prob_12,[0.70-0.75),0.7250000000000001,48912,72.75924108603206,0.7367174489166065
poisson_pca_without_odds,prob_12,[0.75-0.80),0.775,51453,76.87987095018755,0.7656533279408918
poisson_pca_without_odds,prob_12,[0.80-0.85),0.8250000000000001,6755,81.880088823094,0.8193031182055404
poisson_pca_without_odds,prob_12,[0.85-0.90),0.875,1922,86.420395421436,0.8700344170879973
poisson_pca_without_odds,prob_12,[0.90-0.95),0.925,500,90.4,0.9188745029828528
poisson_pca_without_odds,prob_12,[0.95-1.00),0.9750000000000001,85,95.29411764705881,0.962145445806088
poisson_pca_without_odds,prob_X2,[0.00-0.05),0.025,28,7.142857142857142,0.038171471280352816
