market_suffix,model_full_name,feature_type,min_pred_prob_threshold,cumulative_bets_onwards,cumulative_wr_onwards(%)
prob_U35,poisson_pca_without_odds,PCA,0.85,194,86.5979381443299
prob_X2,gradient_boosting_pca_without_odds,PCA,0.65,48190,73.74144013280764
prob_X2,gradient_boosting_pca_without_odds,PCA,0.7,26972,77.63606703247812
prob_X2,gradient_boosting_pca_without_odds,PCA,0.75,13556,81.79403953968722
prob_X2,gradient_boosting_pca_without_odds,PCA,0.8,6074,85.64372736252881
prob_X2,poisson_pca_without_odds,PCA,0.85,3030,88.91089108910892
prob_X2_and_O15,poisson_pca_without_odds,PCA,0.65,6912,70.51504629629629
prob_X2_and_O15,poisson_pca_without_odds,PCA,0.7,3588,74.1917502787068
prob_X2_and_O15,gradient_boosting_pca_without_odds,PCA,0.75,1292,79.56656346749226
prob_X2_and_O15,gradient_boosting_pca_without_odds,PCA,0.8,538,82.1561338289963
prob_X2_and_O15,gradient_boosting_pca_without_odds,PCA,0.85,184,85.86956521739133
prob_X2_and_O25,gradient_boosting_pca_without_odds,PCA,0.65,566,67.13780918727915
prob_X2_and_O25,gradient_boosting_pca_without_odds,PCA,0.7,322,72.67080745341616
prob_X2_and_O25,gradient_boosting_pca_without_odds,PCA,0.75,160,76.25
prob_X2_and_U35,gradient_boosting_pca_without_odds,PCA,0.65,116,63.793103448275865
prob_X2_and_U45,poisson_pca_without_odds,PCA,0.65,11674,68.71680657872194
prob_X2_and_U45,poisson_pca_without_odds,PCA,0.7,2184,74.45054945054946
prob_X2_and_U45,poisson_pca_without_odds,PCA,0.75,110,78.18181818181819
prob_goals_3_plus,poisson_pca_without_odds,PCA,0.65,9666,67.84605834885164
prob_goals_3_plus,gradient_boosting_pca_without_odds,PCA,0.7,2824,69.05099150141643
prob_goals_3_plus,gradient_boosting_pca_without_odds,PCA,0.75,928,74.13793103448276
prob_goals_3_plus,gradient_boosting_pca_without_odds,PCA,0.8,310,82.58064516129032
